indicator_ru,region,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00
Денежные доходы (в среднем на душу),        Кабардино-Балкарская Республика,253.70,372.50,443.80,481.10,812.60,1057.10,1465.70,2095.00,2571.40,3159.90,4078.90,5080.10,6643.10,8589.30,9581.80,11290.00,12636.20,13681.10,15188.50
Денежные доходы (в среднем на душу),        Карачаево-Черкесская Республика,232.00,323.60,434.80,449.80,709.40,1039.50,1341.70,1999.40,2619.20,3343.70,4266.30,5534.20,6939.00,8676.10,10146.90,10878.00,11741.60,13353.90,14564.10
Денежные доходы (в среднем на душу),        Республика Северная Осетия - Алания,312.60,435.10,561.00,613.50,1072.30,1472.80,1632.20,1961.00,2596.00,4085.80,4690.30,6027.30,7872.10,9980.10,10095.70,13192.90,13757.00,16184.70,18646.40
Денежные доходы (в среднем на душу),        Чеченская Республика,,,,,,,,,,,,,,,,11982.40,14026.50,15256.90,17317.80
Денежные доходы (в среднем на душу),        Ставропольский край,329.40,516.70,594.10,630.30,1041.50,1405.00,1766.50,2335.20,3071.80,3886.10,5172.90,6587.30,8273.40,9952.50,11460.60,13016.10,14439.90,16877.20,19767.50
Денежные доходы (в среднем на душу),    Приволжский федеральный округ,369.40,554.50,692.90,744.10,1249.50,1726.20,2319.40,3034.90,3916.60,4786.60,6220.30,7995.70,9929.90,12350.80,13867.40,15840.11,17282.22,19596.80,21773.30
Денежные доходы (в среднем на душу),        Республика Башкортостан,325.70,499.90,626.80,694.90,1244.10,1736.30,2400.20,3133.80,4153.10,5156.60,6891.10,8909.40,11078.90,14252.70,16095.80,17498.90,19029.80,21258.80,23967.00
Денежные доходы (в среднем на душу),        Республика Марий Эл,262.40,372.10,443.90,429.90,817.30,1067.80,1387.60,1813.10,2189.00,2566.60,3383.80,4909.50,6087.30,7843.40,9209.70,10335.70,11328.40,12537.90,14517.20
Денежные доходы (в среднем на душу),        Республика Мордовия,285.30,412.00,517.40,518.50,839.90,1128.40,1570.20,2124.10,2719.90,3266.30,4133.80,4878.50,6137.80,8384.20,9736.00,11294.20,11948.00,13062.70,14270.60
Денежные доходы (в среднем на душу),        Республика Татарстан,393.80,546.20,689.80,758.70,1244.20,1813.10,2471.80,3249.40,4273.10,5355.00,7383.20,9368.90,11576.90,14180.50,15857.80,18424.00,20222.60,24009.80,26077.70
Денежные доходы (в среднем на душу),        Удмуртская Республика,323.70,591.50,721.00,671.50,1058.40,1513.70,2024.70,2533.00,3098.10,3684.80,4661.30,6266.10,7826.20,9586.50,11011.30,12983.60,14452.30,16411.00,18785.00
Денежные доходы (в среднем на душу),        Чувашская Республика,305.10,436.30,486.40,476.60,830.20,1139.90,1553.30,2069.90,2749.20,3188.40,3925.40,5383.50,6749.60,8593.60,9405.20,11065.80,12083.00,13754.90,15047.10
Денежные доходы (в среднем на душу),        Пермский край,489.60,774.20,977.80,1020.50,1671.50,2401.00,3253.90,4129.50,5257.30,6371.50,8201.70,10982.30,13481.00,16119.00,17572.30,19834.30,21307.30,23269.60,25707.40
Денежные доходы (в среднем на душу),            Коми-Пермяцкий авт.округ,,,399.40,368.30,553.30,871.00,1156.70,1591.20,1922.50,2309.30,,,,,,,,,
Денежные доходы (в среднем на душу),        Кировская область,386.70,553.50,630.00,622.30,1006.20,1359.30,1830.60,2517.40,3093.60,3757.90,4580.00,5772.50,7238.40,10112.20,10927.90,13330.90,14675.00,16529.90,18224.40
Денежные доходы (в среднем на душу),        Нижегородская область,383.60,534.60,657.30,725.60,1172.30,1717.90,2406.60,3214.60,4000.10,4793.70,6062.00,8056.50,10181.00,13090.00,14443.80,16477.30,18336.70,21517.60,24430.30
Денежные доходы (в среднем на душу),        Оренбургская область,332.40,533.80,674.10,641.20,1084.20,1451.40,1927.40,2481.80,3135.10,3872.90,5036.00,6174.90,7688.60,10184.00,11587.60,13557.10,14892.00,16539.10,18763.30
Денежные доходы (в среднем на душу),        Пензенская область,303.90,456.40,569.60,549.70,953.50,1259.90,1708.30,2221.40,2764.90,3421.00,4385.90,5658.90,8002.40,10172.90,11556.50,12920.40,14171.50,15765.30,17814.90
Денежные доходы (в среднем на душу),        Самарская область,476.30,731.60,929.70,1202.80,2031.80,2605.20,3262.60,4270.30,5788.10,7176.60,9352.10,11529.50,13982.10,15805.20,18218.30,20223.10,21756.10,24683.00,26356.10
Денежные доходы (в среднем на душу),        Саратовская область,326.30,456.70,620.50,609.90,1118.30,1540.10,2035.20,2620.70,3337.10,3995.00,5029.70,6134.50,7251.70,9061.50,10333.00,12146.60,13097.30,14243.30,15792.80
Денежные доходы (в среднем на душу),        Ульяновская область,316.30,514.80,638.40,677.00,998.90,1276.60,1717.10,2378.90,3063.10,3668.50,4590.10,6157.10,7785.70,9756.40,10769.80,13132.40,14312.10,16350.60,18515.70
Денежные доходы (в среднем на душу),    Уральский федеральный округ,605.00,906.50,1136.40,1122.90,1839.40,2743.60,3819.80,4791.30,6109.60,7412.90,9507.10,12038.30,15025.10,18684.90,19848.10,21742.40,23638.10,26174.80,28791.40
Денежные доходы (в среднем на душу),        Курганская область,279.60,419.60,534.60,543.70,948.80,1341.60,1784.80,2419.30,2867.20,3853.90,4728.90,6535.30,8479.00,11126.00,12690.30,13498.90,14353.00,16019.50,17370.00
Денежные доходы (в среднем на душу),        Свердловская область,506.10,710.50,851.90,858.00,1470.60,2139.70,2994.20,3954.10,5278.00,6743.30,8932.40,11012.20,14243.30,17171.30,19244.30,22193.80,24892.60,27709.20,30770.50
Денежные доходы (в среднем на душу),        Тюменская область,1082.60,1733.30,2207.00,2128.60,3265.60,4934.50,7108.80,8558.50,10555.50,12190.70,14872.90,18621.90,22519.40,27612.20,27552.80,28437.30,29754.10,33280.70,36327.30
Денежные доходы (в среднем на душу),            Ханты-Мансийский автономный округ-Югра,,,2884.00,2719.70,4274.20,6627.50,9594.00,10846.30,12892.10,14971.60,18008.80,22379.80,27109.60,32871.90,32262.80,31913.50,32529.50,36088.10,39360.50
Денежные доходы (в среднем на душу),            Ямало-Ненецкий автономный округ,,,3638.90,3359.00,5152.50,7562.60,10732.80,13298.10,15962.20,18868.10,21766.00,27081.30,31512.00,38133.40,38900.10,42675.90,46669.90,52342.30,56685.80
Денежные доходы (в среднем на душу),        Челябинская область,416.10,582.60,739.40,743.30,1307.00,1968.60,2500.20,3108.30,3998.10,4819.80,6531.20,8613.50,10636.70,14027.80,15044.30,16821.10,18459.90,19762.50,21603.30
Денежные доходы (в среднем на душу),    Сибирский федеральный округ,493.70,716.40,879.20,856.30,1386.30,1933.00,2576.00,3373.20,4351.30,5266.60,6680.50,8346.20,10286.00,12889.20,13490.50,15006.60,16567.90,18322.10,20286.50
Денежные доходы (в среднем на душу),        Республика Алтай,318.70,478.50,614.20,554.30,865.60,1182.00,1620.00,2354.60,2876.40,3419.40,4333.80,5470.40,6934.50,10172.50,10813.40,13535.70,13836.90,14277.70,14698.60
Денежные доходы (в среднем на душу),        Республика Бурятия,378.60,506.90,754.80,659.40,1176.90,1639.00,2262.40,3141.20,3857.40,4671.90,6044.10,7020.00,8891.50,11298.50,13011.40,14270.70,15715.50,17119.00,20602.30
Денежные доходы (в среднем на душу),        Республика Тыва,318.90,456.80,599.70,556.80,797.20,1167.60,1638.30,2402.10,2872.90,3384.90,4099.10,4720.10,5816.60,7871.20,9738.30,10159.60,10962.80,11932.60,13016.10
Денежные доходы (в среднем на душу),        Республика Хакасия,476.50,758.30,858.50,783.80,1347.00,1904.10,2475.50,3143.70,3765.00,4440.90,5141.00,6366.70,7981.60,10763.90,11530.80,12806.40,14222.80,15991.40,17812.00
